,Aggravated assault,Burglary,Counties/principal cities,Larceny,Motor vehicle theft,Murder and nonnegligent manslaughter,Population,Property crime,Rape,Robbery,Violent crime,counties,msa_label,msa_pop,year
0,335.0,905.0,City of Abilene,3113.0,251.0,8.0,122523.0,4269.0,70.0,133.0,546.0,"Includes Callahan, Jones, and Taylor Counties","Abilene, TX M.S.A.",169885,2016
1,387.0,1104.0,Total area actually reporting,3530.0,298.0,11.0,100.0,4932.0,79.0,137.0,614.0,"Includes Callahan, Jones, and Taylor Counties","Abilene, TX M.S.A.",169885,2016
2,227.8,649.9,"Rate per 100,000 inhabitants",2077.9,175.4,6.5,,2903.1,46.5,80.6,361.4,"Includes Callahan, Jones, and Taylor Counties","Abilene, TX M.S.A.",169885,2016
3,555.0,2483.0,City of Akron,5483.0,680.0,34.0,197257.0,8646.0,212.0,415.0,1216.0,Includes Portage and Summit Counties,"Akron, OH M.S.A.2",703561,2016
4,833.0,3865.0,Total area actually reporting,12599.0,989.0,41.0,96.2,17453.0,335.0,530.0,1739.0,Includes Portage and Summit Counties,"Akron, OH M.S.A.2",703561,2016
5,851.0,3963.0,Estimated total,13067.0,1013.0,42.0,100.0,18043.0,344.0,544.0,1781.0,Includes Portage and Summit Counties,"Akron, OH M.S.A.2",703561,2016
6,121.0,563.3,"Rate per 100,000 inhabitants",1857.3,144.0,6.0,,2564.5,48.9,77.3,253.1,Includes Portage and Summit Counties,"Akron, OH M.S.A.2",703561,2016
7,625.0,888.0,City of Albany,2585.0,147.0,16.0,74330.0,3620.0,28.0,204.0,873.0,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties","Albany, GA M.S.A.",152566,2016
8,802.0,1415.0,Total area actually reporting,3934.0,204.0,18.0,96.0,5553.0,41.0,237.0,1098.0,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties","Albany, GA M.S.A.",152566,2016
9,816.0,1449.0,Estimated total,4084.0,220.0,18.0,100.0,5753.0,43.0,244.0,1121.0,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties","Albany, GA M.S.A.",152566,2016
10,534.9,949.8,"Rate per 100,000 inhabitants",2676.9,144.2,11.8,,3770.8,28.2,159.9,734.8,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties","Albany, GA M.S.A.",152566,2016
11,10.0,146.0,City of Albany,1256.0,110.0,0.0,52544.0,1512.0,12.0,21.0,43.0,Includes Linn County,"Albany, OR M.S.A.",122030,2016
12,72.0,462.0,Total area actually reporting,2564.0,257.0,0.0,100.0,3283.0,34.0,33.0,139.0,Includes Linn County,"Albany, OR M.S.A.",122030,2016
13,59.0,378.6,"Rate per 100,000 inhabitants",2101.1,210.6,0.0,,2690.3,27.9,27.0,113.9,Includes Linn County,"Albany, OR M.S.A.",122030,2016
14,537.0,491.0,City of Albany,2858.0,112.0,2.0,98617.0,3461.0,59.0,250.0,848.0,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties","Albany-Schenectady-Troy, NY M.S.A.",878166,2016
15,385.0,378.0,City of Schenectady,1525.0,197.0,6.0,65138.0,2100.0,58.0,146.0,595.0,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties","Albany-Schenectady-Troy, NY M.S.A.",878166,2016
16,232.0,394.0,City of Troy,1308.0,90.0,3.0,49876.0,1792.0,25.0,102.0,362.0,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties","Albany-Schenectady-Troy, NY M.S.A.",878166,2016
17,1581.0,2472.0,Total area actually reporting,14455.0,720.0,18.0,100.0,17647.0,342.0,603.0,2544.0,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties","Albany-Schenectady-Troy, NY M.S.A.",878166,2016
18,180.0,281.5,"Rate per 100,000 inhabitants",1646.0,82.0,2.0,,2009.5,38.9,68.7,289.7,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties","Albany-Schenectady-Troy, NY M.S.A.",878166,2016
19,3846.0,6236.0,City of Albuquerque,24582.0,7710.0,61.0,561560.0,38528.0,381.0,1957.0,6245.0,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties","Albuquerque, NM M.S.A.",907140,2016
20,5413.0,8628.0,Total area actually reporting,30113.0,9235.0,75.0,100.0,47976.0,520.0,2165.0,8173.0,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties","Albuquerque, NM M.S.A.",907140,2016
21,596.7,951.1,"Rate per 100,000 inhabitants",3319.6,1018.0,8.3,,5288.7,57.3,238.7,901.0,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties","Albuquerque, NM M.S.A.",907140,2016
22,693.0,1057.0,City of Alexandria,2765.0,269.0,11.0,47936.0,4091.0,25.0,154.0,883.0,Includes Grant and Rapides Parishes,"Alexandria, LA M.S.A.",154032,2016
23,1147.0,1946.0,Total area actually reporting,4740.0,482.0,12.0,98.8,7168.0,76.0,179.0,1414.0,Includes Grant and Rapides Parishes,"Alexandria, LA M.S.A.",154032,2016
24,1153.0,1958.0,Estimated total,4793.0,485.0,12.0,100.0,7236.0,77.0,180.0,1422.0,Includes Grant and Rapides Parishes,"Alexandria, LA M.S.A.",154032,2016
25,748.5,1271.2,"Rate per 100,000 inhabitants",3111.7,314.9,7.8,,4697.7,50.0,116.9,923.2,Includes Grant and Rapides Parishes,"Alexandria, LA M.S.A.",154032,2016
26,213.0,668.0,"City of Allentown, PA",2387.0,282.0,10.0,120615.0,3337.0,55.0,274.0,552.0,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA","Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",831770,2016
27,,213.0,"City of Bethlehem, PA3",1226.0,48.0,4.0,74869.0,1487.0,21.0,58.0,,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA","Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",831770,2016
28,,2195.0,Total area actually reporting,,739.0,22.0,99.6,,160.0,483.0,,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA","Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",831770,2016
29,,2202.0,Estimated total,,741.0,22.0,100.0,,161.0,485.0,,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA","Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",831770,2016
30,,264.7,"Rate per 100,000 inhabitants",,89.1,2.6,,,19.4,58.3,,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA","Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",831770,2016
31,95.0,169.0,City of Altoona,619.0,33.0,1.0,45158.0,821.0,23.0,37.0,156.0,Includes Blair County,"Altoona, PA M.S.A.",124942,2016
32,179.0,238.0,Total area actually reporting,1405.0,55.0,1.0,100.0,1698.0,40.0,46.0,266.0,Includes Blair County,"Altoona, PA M.S.A.",124942,2016
33,143.3,190.5,"Rate per 100,000 inhabitants",1124.5,44.0,0.8,,1359.0,32.0,36.8,212.9,Includes Blair County,"Altoona, PA M.S.A.",124942,2016
34,981.0,1797.0,City of Amarillo,6756.0,919.0,11.0,200141.0,9472.0,162.0,260.0,1414.0,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties","Amarillo, TX M.S.A.2",263223,2016
35,1089.0,2004.0,Total area actually reporting,7321.0,1027.0,14.0,100.0,10352.0,188.0,269.0,1560.0,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties","Amarillo, TX M.S.A.2",263223,2016
36,413.7,761.3,"Rate per 100,000 inhabitants",2781.3,390.2,5.3,,3932.8,71.4,102.2,592.7,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties","Amarillo, TX M.S.A.2",263223,2016
37,52.0,164.0,City of Ames,867.0,46.0,1.0,66333.0,1077.0,39.0,15.0,107.0,Includes Story County,"Ames, IA M.S.A.",97202,2016
38,73.0,235.0,Total area actually reporting,1203.0,79.0,1.0,93.0,1517.0,51.0,16.0,141.0,Includes Story County,"Ames, IA M.S.A.",97202,2016
39,86.0,262.0,Estimated total,1293.0,85.0,1.0,100.0,1640.0,54.0,17.0,158.0,Includes Story County,"Ames, IA M.S.A.",97202,2016
40,88.5,269.5,"Rate per 100,000 inhabitants",1330.2,87.4,1.0,,1687.2,55.6,17.5,162.5,Includes Story County,"Ames, IA M.S.A.",97202,2016
41,2157.0,2008.0,City of Anchorage,10599.0,2042.0,28.0,299097.0,14649.0,542.0,695.0,3422.0,Includes Anchorage Municipality and Matanuska-Susitna Borough,"Anchorage, AK M.S.A.",315641,2016
