,Aggravated assault,Burglary,Counties/principal cities,Forcible rape,Larceny- theft,Larceny-theft,Larcenyâ€‘ theft,Motor vehicle theft,Murder and nonnegligent manslaughter,Population,Property crime,Rape 1,Robbery,Violent crime,counties,msa_label,msa_pop,year
0,335,905,City of Abilene,,3113,,,251,8,122523,4269,70,133,546,"Includes Callahan, Jones, and Taylor Counties","Abilene, TX M.S.A.",169885,2016
1,387,1104,Total area actually reporting,,3530,,,298,11,100,4932,79,137,614,"Includes Callahan, Jones, and Taylor Counties","Abilene, TX M.S.A.",169885,2016
2,227.8,649.9,"Rate per 100,000 inhabitants",,2077.9,,,175.4,6.5,,2903.1,46.5,80.6,361.4,"Includes Callahan, Jones, and Taylor Counties","Abilene, TX M.S.A.",169885,2016
3,555,2483,City of Akron,,5483,,,680,34,197257,8646,212,415,1216,Includes Portage and Summit Counties,"Akron, OH M.S.A.2",703561,2016
4,833,3865,Total area actually reporting,,12599,,,989,41,96.2,17453,335,530,1739,Includes Portage and Summit Counties,"Akron, OH M.S.A.2",703561,2016
5,851,3963,Estimated total,,13067,,,1013,42,100,18043,344,544,1781,Includes Portage and Summit Counties,"Akron, OH M.S.A.2",703561,2016
6,121,563.3,"Rate per 100,000 inhabitants",,1857.3,,,144,6,,2564.5,48.9,77.3,253.1,Includes Portage and Summit Counties,"Akron, OH M.S.A.2",703561,2016
7,625,888,City of Albany,,2585,,,147,16,74330,3620,28,204,873,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties","Albany, GA M.S.A.",152566,2016
8,802,1415,Total area actually reporting,,3934,,,204,18,96,5553,41,237,1098,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties","Albany, GA M.S.A.",152566,2016
9,816,1449,Estimated total,,4084,,,220,18,100,5753,43,244,1121,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties","Albany, GA M.S.A.",152566,2016
10,534.9,949.8,"Rate per 100,000 inhabitants",,2676.9,,,144.2,11.8,,3770.8,28.2,159.9,734.8,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties","Albany, GA M.S.A.",152566,2016
11,10,146,City of Albany,,1256,,,110,0,52544,1512,12,21,43,Includes Linn County,"Albany, OR M.S.A.",122030,2016
12,72,462,Total area actually reporting,,2564,,,257,0,100,3283,34,33,139,Includes Linn County,"Albany, OR M.S.A.",122030,2016
13,59,378.6,"Rate per 100,000 inhabitants",,2101.1,,,210.6,0,,2690.3,27.9,27,113.9,Includes Linn County,"Albany, OR M.S.A.",122030,2016
14,537,491,City of Albany,,2858,,,112,2,98617,3461,59,250,848,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties","Albany-Schenectady-Troy, NY M.S.A.",878166,2016
15,385,378,City of Schenectady,,1525,,,197,6,65138,2100,58,146,595,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties","Albany-Schenectady-Troy, NY M.S.A.",878166,2016
16,232,394,City of Troy,,1308,,,90,3,49876,1792,25,102,362,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties","Albany-Schenectady-Troy, NY M.S.A.",878166,2016
17,1581,2472,Total area actually reporting,,14455,,,720,18,100,17647,342,603,2544,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties","Albany-Schenectady-Troy, NY M.S.A.",878166,2016
18,180,281.5,"Rate per 100,000 inhabitants",,1646,,,82,2,,2009.5,38.9,68.7,289.7,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties","Albany-Schenectady-Troy, NY M.S.A.",878166,2016
19,3846,6236,City of Albuquerque,,24582,,,7710,61,561560,38528,381,1957,6245,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties","Albuquerque, NM M.S.A.",907140,2016
20,5413,8628,Total area actually reporting,,30113,,,9235,75,100,47976,520,2165,8173,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties","Albuquerque, NM M.S.A.",907140,2016
21,596.7,951.1,"Rate per 100,000 inhabitants",,3319.6,,,1018,8.3,,5288.7,57.3,238.7,901,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties","Albuquerque, NM M.S.A.",907140,2016
22,693,1057,City of Alexandria,,2765,,,269,11,47936,4091,25,154,883,Includes Grant and Rapides Parishes,"Alexandria, LA M.S.A.",154032,2016
23,1147,1946,Total area actually reporting,,4740,,,482,12,98.8,7168,76,179,1414,Includes Grant and Rapides Parishes,"Alexandria, LA M.S.A.",154032,2016
24,1153,1958,Estimated total,,4793,,,485,12,100,7236,77,180,1422,Includes Grant and Rapides Parishes,"Alexandria, LA M.S.A.",154032,2016
